epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,580.591,1.33202,2.64323,1.40121,0.9162,0.26953,0.46186,0.28603,1.2217,2.9814,1.3105,0.00054409,0.00054409,0.00054409
2,1252.21,1.27383,1.88828,1.35246,0.67701,0.53347,0.56435,0.36342,1.34865,2.41966,1.5549,0.00106346,0.00106346,0.00106346
